timestamp,house_id,season,festival,temperature_c,ac,fridge,lights,fans,washing_machine,tv,geyser,other_appliances,kwh
2024-01-01,H003,winter,no,22.61,0.0,0.535,0.366,0.408,0.252,0.265,0.408,0.184,5.557
2024-01-02,H002,winter,no,19.92,0.0,0.532,0.148,0.359,0.185,0.267,0.581,0.439,4.859
2024-01-03,H001,winter,no,23.5,0.0,0.508,0.261,0.312,0.267,0.252,0.566,0.344,6.085
2024-01-04,H001,winter,no,23.88,0.0,0.576,0.296,0.422,0.226,0.231,0.49,0.29,4.867
2024-01-05,H003,winter,no,18.1,0.0,0.564,0.316,0.28,0.175,0.229,0.296,0.325,5.076
2024-01-06,H004,winter,no,19.4,0.0,0.455,0.249,0.271,0.13,0.219,0.452,0.454,4.991
2024-01-07,H003,winter,no,22.26,0.0,0.451,0.171,0.498,0.141,0.229,0.409,0.423,5.48
2024-01-08,H004,winter,no,21.37,0.0,0.575,0.244,0.219,0.062,0.233,0.452,0.337,4.646
2024-01-09,H002,winter,no,21.97,0.0,0.501,0.248,0.233,0.159,0.102,0.365,0.236,3.95
2024-01-10,H005,winter,no,20.29,0.0,0.568,0.246,0.363,0.192,0.145,0.511,0.243,3.917
2024-01-11,H005,winter,no,23.76,0.0,0.597,0.368,0.51,0.317,0.128,0.529,0.425,6.486
2024-01-12,H005,winter,no,23.56,0.0,0.474,0.215,0.417,0.222,0.278,0.544,0.222,5.06
2024-01-13,H004,winter,no,22.13,0.0,0.465,0.321,0.407,0.111,0.316,0.419,0.338,4.268
2024-01-14,H004,winter,no,24.25,0.0,0.65,0.311,0.52,0.065,0.048,0.365,0.618,5.582
2024-01-15,H001,winter,no,22.94,0.0,0.571,0.367,0.342,0.163,0.31,0.478,0.396,5.512
2024-01-16,H001,winter,no,20.28,0.0,0.525,0.291,0.245,0.245,0.206,0.59,0.424,4.946
2024-01-17,H001,winter,no,22.74,0.0,0.494,0.355,0.415,0.162,0.271,0.456,0.244,4.762
2024-01-18,H003,winter,no,20.08,0.0,0.519,0.288,0.366,0.223,0.235,0.486,0.227,4.976
2024-01-19,H003,winter,no,23.76,0.0,0.479,0.33,0.347,0.166,0.301,0.431,0.43,5.492
2024-01-20,H001,winter,no,21.9,0.0,0.603,0.195,0.35,0.237,0.215,0.41,0.322,5.33
